PID,UNIT,BEEP,OCCASION,Happy,PA,NA
A3XAe,1,6,6,NA,NA,NA
A3XAe,2,1,7,42.71844806,NA,7.281551939
A3XAe,2,2,8,NA,NA,NA
A3XAe,2,3,9,NA,NA,NA
A3XAe,2,4,10,NA,NA,NA
A3XAe,2,5,11,NA,NA,NA
A3XAe,2,6,12,81.49036061,31.49036061,NA
A3XAe,3,1,13,83.57080402,33.57080402,NA
A3XAe,3,2,14,88.2990866,38.2990866,NA
A3XAe,3,3,15,91.13605384,41.13605384,NA
A3XAe,3,4,16,NA,NA,NA
A3XAe,3,5,17,90.37953001,40.37953001,NA
A3XAe,3,6,18,85.65124743,35.65124743,NA
A3XAe,4,1,19,89.43386656,39.43386656,NA
A3XAe,4,2,20,NA,NA,NA
A3XAe,4,3,21,92.08170573,42.08170573,NA
A3XAe,4,4,22,100,50,NA
A3XAe,4,5,23,NA,NA,NA
A3XAe,4,6,24,54.06632279,4.066322789,NA
A3XAe,5,1,25,NA,NA,NA
A3XAe,5,2,26,73.35771503,23.35771503,NA
A3XAe,5,3,27,69.57508434,19.57508434,NA
A3XAe,5,4,28,91.89257766,41.89257766,NA
A3XAe,5,5,29,NA,NA,NA
A3XAe,5,6,30,81.30122098,31.30122098,NA
A3XAe,6,1,31,NA,NA,NA
A3XAe,6,2,32,53.12066512,3.120665117,NA
A3XAe,6,3,33,89.62300618,39.62300618,NA
A3XAe,6,4,34,100,50,NA
A3XAe,6,5,35,NA,NA,NA
A3XAe,6,6,36,73.16858118,23.16858118,NA
A3XAe,7,1,37,50,NA,NA
A3XAe,7,2,38,NA,NA,NA
A3XAe,7,3,39,38.93582315,NA,11.06417685
A3XAe,7,4,40,98.89043172,48.89043172,NA
A3XAe,7,5,41,83.38166439,33.38166439,NA
A3XAe,7,6,42,81.30122098,31.30122098,NA
A3XAe,8,1,43,62.00983452,12.00983452,NA
A3XAe,8,2,44,72.41205736,22.41205736,NA
A3XAe,8,3,45,73.73597694,23.73597694,NA
A3XAe,8,4,46,NA,NA,NA
A3XAe,8,5,47,79.22077757,29.22077757,NA
A3XAe,8,6,48,80.35556909,30.35556909,NA
A3XAe,9,1,49,NA,NA,NA
A3XAe,9,2,50,NA,NA,NA
A3XAe,9,3,51,NA,NA,NA
A3XAe,9,4,52,96.80998831,46.80998831,NA
A3XAe,9,5,53,99.07955979,49.07955979,NA
A3XAe,9,6,54,86.78602739,36.78602739,NA
A3XAe,10,1,55,44.60976341,NA,5.390236594
A3XAe,10,2,56,38.74668931,NA,11.25331069
A3XAe,10,3,57,89.24473849,39.24473849,NA
A3XAe,10,4,58,82.05774481,32.05774481,NA
A3XAe,10,5,59,90.00126232,40.00126232,NA
A3XAe,10,6,60,98.89043172,48.89043172,NA
A3XAe,11,1,61,74.11423885,24.11423885,NA
A3XAe,11,2,62,100,50,NA
A3XAe,11,3,63,NA,NA,NA
A3XAe,11,4,64,82.05774481,32.05774481,NA
A3XAe,11,5,65,NA,NA,NA
A3XAe,11,6,66,NA,NA,NA
A3XAe,12,1,67,46.31193912,NA,3.688060876
A3XAe,12,2,68,74.49250077,24.49250077,NA
A3XAe,12,3,69,100,50,NA
A3XAe,12,4,70,83.38166439,33.38166439,NA
A3XAe,12,5,71,NA,NA,NA
A3XAe,12,6,72,100,50,NA
A3XAe,13,1,73,NA,NA,NA
A3XAe,13,2,74,NA,NA,NA
A3XAe,13,3,75,76.95120609,26.95120609,NA
A3XAe,13,4,76,77.14033994,27.14033994,NA
A3XAe,13,5,77,NA,NA,NA
A3XAe,13,6,78,79.22077757,29.22077757,NA
A3XAe,14,1,79,71.8446616,21.8446616,NA
A3XAe,14,2,80,70.33161395,20.33161395,NA
A3XAe,14,3,81,96.80998831,46.80998831,NA
A3XAe,14,4,82,69.57508434,19.57508434,NA
A3XAe,14,5,83,NA,NA,NA
A3XAe,14,6,84,79.22077757,29.22077757,NA
A3XAe,15,1,85,68.25117053,18.25117053,NA
A3XAe,15,2,86,87.35342315,37.35342315,NA
A3XAe,15,3,87,91.13605384,41.13605384,NA
A3XAe,15,4,88,72.79031927,22.79031927,NA
A3XAe,15,5,89,83.94906015,33.94906015,NA
A3XAe,15,6,90,83.00340826,33.00340826,NA
A3XAe,16,1,91,53.87719472,3.877194722,NA
A3XAe,16,2,92,67.30551286,17.30551286,NA
A3XAe,16,3,93,70.1424801,20.1424801,NA
A3XAe,16,4,94,65.79245943,15.79245943,NA
A3XAe,16,5,95,59.36200113,9.36200113,NA
A3XAe,16,6,96,69.00769436,19.00769436,NA
A3XAe,17,1,97,65.60333136,15.60333136,NA
A3XAe,17,2,98,79.0316495,29.0316495,NA
A3XAe,17,3,99,81.30122098,31.30122098,NA
A3XAe,17,4,100,84.13819978,34.13819978,NA
A3XAe,17,5,101,77.51860185,27.51860185,NA
A3XAe,17,6,102,82.81428019,32.81428019,NA
A3XAe,18,1,103,68.62943245,18.62943245,NA
A3XAe,18,2,104,64.84680754,14.84680754,NA
A3XAe,18,3,105,NA,NA,NA
A3XAe,18,4,106,95.10781259,45.10781259,NA
A3XAe,18,5,107,NA,NA,NA
A3XAe,18,6,108,58.03808155,8.038081545,NA
A3XAe,19,1,109,80.16644102,30.16644102,NA
A3XAe,19,2,110,73.16858118,23.16858118,NA
A3XAe,19,3,111,74.68162883,24.68162883,NA
A3XAe,19,4,112,75.43815844,25.43815844,NA
A3XAe,19,5,113,NA,NA,NA
A3XAe,19,6,114,40.25974274,NA,9.740257263
A3XAe,20,1,115,66.7381171,16.7381171,NA
A3XAe,20,2,116,NA,NA,NA
A3XAe,20,3,117,73.92510501,23.92510501,NA
A3XAe,20,4,118,84.13819978,34.13819978,NA
A3XAe,20,5,119,NA,NA,NA
A3XAe,20,6,120,56.1467662,6.1467662,NA
A3XAe,21,1,121,44.79889147,NA,5.201108528
A3XAe,21,2,122,68.4402986,18.4402986,NA
A3XAe,21,3,123,80.92296485,30.92296485,NA
A3XAe,21,4,124,NA,NA,NA
A3XAe,21,5,125,NA,NA,NA
A3XAe,21,6,126,66.92725095,16.92725095,NA
A3XAe,22,1,127,81.86861674,31.86861674,NA
A3XAe,22,2,128,80.35556909,30.35556909,NA
A3XAe,22,3,129,85.08385167,35.08385167,NA
A3XAe,22,4,130,75.81642035,25.81642035,NA
A3XAe,22,5,131,81.86861674,31.86861674,NA
A3XAe,22,6,132,73.73597694,23.73597694,NA
A3XAe,23,1,133,56.33590005,6.335900047,NA
A3XAe,23,2,134,67.87290284,17.87290284,NA
A3XAe,23,3,135,86.78602739,36.78602739,NA
A3XAe,23,4,136,52.17501322,2.175013224,NA
A3XAe,23,5,137,NA,NA,NA
A3XAe,23,6,138,62.38809643,12.38809643,NA
A3XAe,24,1,139,NA,NA,NA
A3XAe,24,2,140,77.51860185,27.51860185,NA
A3XAe,24,3,141,NA,NA,NA
A3XAe,24,4,142,75.24902459,25.24902459,NA
A3XAe,24,5,143,59.17286728,9.172867284,NA
A3XAe,24,6,144,86.97516701,36.97516701,NA
A3XAe,25,1,145,69.38595627,19.38595627,NA
A3XAe,25,2,146,67.68377477,17.68377477,NA
A3XAe,25,3,147,73.5468431,23.5468431,NA
A3XAe,25,4,148,78.46425374,28.46425374,NA
A3XAe,25,5,149,NA,NA,NA
A3XAe,25,6,150,55.20110853,5.201108528,NA
A3XAe,26,1,151,67.87290284,17.87290284,NA
A3XAe,26,2,152,68.06203669,18.06203669,NA
A3XAe,26,3,153,90.75778614,40.75778614,NA
A3XAe,26,4,154,75.24902459,25.24902459,NA
A3XAe,26,5,155,76.19468227,26.19468227,NA
A3XAe,26,6,156,71.27726584,21.27726584,NA
A3XAe,27,1,157,88.2990866,38.2990866,NA
A3XAe,27,2,158,61.44244454,11.44244454,NA
A3XAe,27,3,159,NA,NA,NA
A3XAe,27,4,160,78.46425374,28.46425374,NA
A3XAe,27,5,161,NA,NA,NA
A3XAe,27,6,162,93.02736918,43.02736918,NA
A3XAe,28,1,163,64.84680754,14.84680754,NA
A3XAe,28,2,164,58.98373922,8.983739217,NA
A3XAe,28,3,165,76.38381033,26.38381033,NA
A3XAe,28,4,166,NA,NA,NA
A3XAe,28,5,167,NA,NA,NA
A3XAe,28,6,168,82.24688443,32.24688443,NA
A3XAe,29,1,169,56.33590005,6.335900047,NA
A3XAe,29,2,170,NA,NA,NA
A3XAe,29,3,171,62.95549219,12.95549219,NA
A3XAe,29,4,172,74.87076268,24.87076268,NA
A3XAe,29,5,173,NA,NA,NA
A3XAe,29,6,174,NA,NA,NA
A3XNv,1,1,1,66.84570313,16.84570313,NA
A3XNv,1,2,2,69.77539063,19.77539063,NA
A3XNv,1,3,3,77.79873935,27.79873935,NA
A3XNv,1,4,4,67.07874645,17.07874645,NA
A3XNv,1,5,5,75.60147372,25.60147372,NA
A3XNv,1,6,6,74.00346236,24.00346236,NA
A3XNv,2,1,7,73.83700284,23.83700284,NA
A3XNv,2,2,8,75.80122514,25.80122514,NA
A3XNv,2,3,9,76.63352273,26.63352273,NA
A3XNv,2,4,10,82.82581676,32.82581676,NA
A3XNv,2,5,11,70.67427202,20.67427202,NA
A3XNv,2,6,12,82.15997869,32.15997869,NA
A3XNv,3,1,13,68.37713068,18.37713068,NA
A3XNv,3,2,14,71.14035866,21.14035866,NA
A3XNv,3,3,15,NA,NA,NA
A3XNv,3,4,16,50,NA,NA
A3XNv,3,5,17,67.87775213,17.87775213,NA
A3XNv,3,6,18,74.03675426,24.03675426,NA
A3XNv,4,1,19,NA,NA,NA
A3XNv,4,2,20,50,NA,NA
A3XNv,4,3,21,70.30806108,20.30806108,NA
A3XNv,4,4,22,87.1204723,37.1204723,NA
A3XNv,4,5,23,76.53364702,26.53364702,NA
A3XNv,4,6,24,71.87278054,21.87278054,NA
A3XNv,5,1,25,38.91379616,NA,11.08620384
A3XNv,5,2,26,66.94557884,16.94557884,NA
A3XNv,5,3,27,65.88023793,15.88023793,NA
A3XNv,5,4,28,76.79998224,26.79998224,NA
A3XNv,5,5,29,71.5065696,21.5065696,NA
